Nome da Startup,País Sede,Site,Setor,Ano de Fundação,Valor do Investimento,Rodada,Data do Investimento,Venture Capital Investidor,LinkedIn do Fundador,Link do Github,Tecnologias Utilizadas,Tamanho da Equipe,Tamanho do Mercado,Tamanho do Mercado  
Clip,Mexico,https://clip.mx/,Fintech,2012.0,,,,Redwood Ventures,,,"Payment processing, Mobile payments",~300,,N/A  
Cornershop,Mexico,https://cornershopapp.com/,E-commerce,2015.0,,,,Redwood Ventures,,,"On-demand grocery delivery, Mobile app",~400,,N/A  
Mediante,Mexico,https://mediante.com/,HealthTech,2017.0,,,,Redwood Ventures,,,Healthcare SaaS,~50,,N/A  
Restorando,Argentina,https://restorando.com/,Hospitality Tech,2013.0,,,,Mapeos Endeavor,,,Restaurant booking platform,~50,,N/A  
Tu Ruta,Colombia,https://turuta.com/,Logistics,2017.0,,,,Variv Capital,,,Transportation logistics platform,~150,,N/A  
Rappi,Colombia,https://rappi.com/,E-commerce,2015.0,,,,Seaya Ventures,,,"On-demand delivery, Mobile apps, AI",~1500,,US$40B (LatAm delivery)  
Glovo,Spain,https://glovoapp.com/,Logistics,2015.0,,,,Seaya Ventures,,,"Delivery platform, Mobile apps, Cloud",~1500,,US$35B (European delivery)  
Cabify,Spain,https://cabify.com/,Mobility,2011.0,,,,Seaya Ventures,,,"Ride-hailing app, Mobile technology",~1000,,N/A  
Let's Tech,Chile,https://letstech.cl/,EdTech,2018.0,,,,Genesis Ventures,,,"Educational software, Cloud",~50,,N/A  
NutriGen,Colombia,https://nutrigencorp.com/,HealthTech,2016.0,,,,Genesis Ventures,,,"Nutrition technology, SaaS",~40,,N/A  
Vehicool,Colombia,https://vehicool.com/,Logistics,2018.0,,,,Cometa VC,,,Vehicle fleet management SaaS,~100,,N/A  
Edify,Colombia,https://edify.app/,EdTech,2019.0,,,,Cometa VC,,,Educational platform SaaS,~60,,N/A  
Vocación,Argentina,https://vocacion.com.ar/,EdTech,2017.0,,,,Magma Partners,,,EdTech platform,~40,,N/A  
Clubit,Peru,https://clubit.app/,E-commerce,2018.0,,,,Magma Partners,,,E-commerce platform,~30,,N/A  
Dreams,Peru,https://dreams.com.pe/,E-commerce,2017.0,,,,Magma Partners,,,E-commerce fintech,~100,,
